Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-07-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.501107195490047
2021-07-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.53948653718436
2021-07-06,FlyDubai,Chennai,Dubai,Business,First Flyer,27.40410443231379
2021-07-07,FlyDubai,Chennai,Dubai,Business,First Flyer,27.076841806774624
2021-07-08,FlyDubai,Chennai,Dubai,Business,First Flyer,24.442755345042084
2021-07-09,FlyDubai,Chennai,Dubai,Business,First Flyer,25.647737870856595
2021-07-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.03241825028481
2021-07-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.550635209705085
2021-07-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.589014529176072
2021-07-13,FlyDubai,Chennai,Dubai,Business,First Flyer,27.453632402081055
2021-07-14,FlyDubai,Chennai,Dubai,Business,First Flyer,27.12636977654919
2021-07-15,FlyDubai,Chennai,Dubai,Business,First Flyer,24.492283314816817
2021-07-16,FlyDubai,Chennai,Dubai,Business,First Flyer,25.697265840626926
2021-07-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.08194622005298
2021-07-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.600163179469266
2021-07-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.63854249755881
2021-07-20,FlyDubai,Chennai,Dubai,Business,First Flyer,27.503160369082444
2021-07-21,FlyDubai,Chennai,Dubai,Business,First Flyer,27.175897742161084
2021-07-22,FlyDubai,Chennai,Dubai,Business,First Flyer,24.54181127904496
2021-07-23,FlyDubai,Chennai,Dubai,Business,First Flyer,25.746793803468684
2021-07-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.13147418151043
2021-07-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.649691139543613
2021-07-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.688070457626694
2021-07-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.55268832914789
2021-07-28,FlyDubai,Chennai,Dubai,Business,First Flyer,27.225425702227525
2021-07-29,FlyDubai,Chennai,Dubai,Business,First Flyer,24.591339239111335
2021-07-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.796321763535346
2021-07-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.18100214137447
2021-08-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.69921909919745
2021-08-02,FlyDubai,Chennai,Dubai,Business,First Flyer,26.73759841707879
2021-08-03,FlyDubai,Chennai,Dubai,Business,First Flyer,27.602216288390377
2021-08-04,FlyDubai,Chennai,Dubai,Business,First Flyer,27.274953661261957
2021-08-05,FlyDubai,Chennai,Dubai,Business,First Flyer,24.640867197934963
2021-08-06,FlyDubai,Chennai,Dubai,Business,First Flyer,25.845849722150835
2021-08-07,FlyDubai,Chennai,Dubai,Business,First Flyer,26.230530099989895
2021-08-08,FlyDubai,Chennai,Dubai,Business,First Flyer,27.748747057813723
